Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cost Code),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Firmstep Status),Custom field (Firmstep Ticket Number),Custom field (Firmstep Ticket URL),Custom field (Flagged),Custom field (Internal Client:),Custom field (Marval Reference:),Custom field (Mendix modeler version),Custom field (Mendix module),Custom field (Product),Custom field (Rank),Custom field (Requester Name),Custom field (Savings),Custom field (Service Catalogue Description),Custom field (Service Catalogue Name),Custom field (Services),Custom field (Sharepoint URL),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Ticket Raised),Custom field (url)
reconfigure LOCTA processing in Clearcore,IDB-300,34059,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,RichardAClarke,RichardAClarke,2018-07-25,2018-07-25,2018-07-25,,ClearCore Data Processing - V1.0,,,0,development,,,"Reconfigure, possibly linking to LLPG, to correctly process customer's residential property address, not contact address or the address they own as a landlord

AC
see IDB-299
* Council Tax property changes in Northgate are seen in the Clearcore output used by iPaaS",,RichardAClarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-158,,,,,,,,,,,,0|hzzzqe:oxu,,,,,,,6. IoT Business Rules & CC I/O,,,,8,,
Discover how the LOCTA processing in Clearcore should be set up,IDB-299,34058,,Task,Discovery,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,richardbeech,RichardAClarke,RichardAClarke,2018-07-25,2018-07-27,2018-07-27,,ClearCore Data Processing - V1.0,,,0,Blocked,Discovery,,"LOCTA processing does not correctly process customers at the address where they reside.
Need to review the LOCTA file structure to correctly feed Clearcore with the customer's residence.

AC:
* Understand how Northgate address changes on a property will be processed into Clearcore so that Best View files will deliver the correct residential address to iPaaS

Does not include:
* reconfiguration in Clearcore",,RichardAClarke,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-158,,,,,,Impediment,,,,,,0|hzzzqe:oxo,,,,,,,6. IoT Business Rules & CC I/O,,,,5,,
Business Rule: Indicate excessive internal temperature for a prolonged period (unusually high temperatures (> 27Â°C)),IDB-297,34056,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,samwhite,RichardAClarke,2018-07-25,2018-07-25,2018-07-25,,IoT to iCasework - V1.0,,,0,,,,"Where a property is occupied and displays unusually high temperatures (> 27Â°C) over a long period (72 hours) 

Create a rule to indicate.

use parameters in the process to enable reuse for other business rules, eg
* time period
* temperature condition (< or >)
* temperature value

AC:
* Show all properties where the condition applies
* This iteration - notification by email shape

Future iteration
* Provides data to sends a notification
* Calls a notification subprocess",,RichardAClarke,,,,,,,,,,,,,,,,IDB-284,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:ox8,,,,,,,6. IoT Business Rules & CC I/O,,,,13,,
Business Rule: Indicate early warning signs of fuel poverty (unusually low temperatures (< 18Â°C)),IDB-284,34031,,New Feature,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,samwhite,samwhite,2018-07-18,2018-07-25,2018-07-25,,IoT to iCasework - V1.0,,,0,,,,"Where a property is occupied and display unusually low temperatures (< 18Â°C) over a long period (72 hours) can be an early warning indicator of fuel poverty.

Create a rule to indicate.

Assume a parameterised rule is already in place DIG-297

AC:
* we can modify or re-use the earlier temperature business rule",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:oxc,,,,,,,6. IoT Business Rules & CC I/O,,,,3,,
Identify the external temperature sensor to develop a relative temperature business rule,IDB-277,34024,,Task,Development,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,olivercurson,samwhite,samwhite,2018-07-18,2018-07-27,2018-07-25,,IoT to iCasework - V1.0,,,0,Discovery,,,"Target the external temperature sensor based on location information in the location spreadsheet, or the API

Does include:
* identify the sensor, ideally by API
* Connectivity test

Does not include:
* Read the temperature of the external sensor.

Â AC:
* successful communication with the external sensor


We'll need an architectural overview of this.
Synetica APIs here:Â S:\ICT\ISU\Web Development\Synetica",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:ox4,,,,,,,6. IoT Business Rules & CC I/O,,,,2,,
Discover how to retrieve flat numbers via the Synetica API to identify properties,IDB-276,34023,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,samwhite,samwhite,2018-07-18,2018-07-27,2018-07-25,,IoT to iCasework - V1.0,,,0,Discovery,,,"Discover whether we can or can't retrieve and store (CACHE?) a list of the sensors to identify locations (dwellings)

Resources:
* Spreadsheet of sensor locations provided

Discover whether Display Name can be retrieved by API
If not, decide whether the spreadsheet data should be stored in a database instead

",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,27/Jul/18 10:01 AM;samwhite;Brighton Zone ID's.xlsx;http://wap-jira:8080/secure/attachment/13000/Brighton+Zone+ID%27s.xlsx,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:ox,,,,,,,6. IoT Business Rules & CC I/O,,,,3,,
Access to the Boomi Atom and Molecule from the outside world,IDB-274,34018,,Task,Discovery,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,trevorlee,samwhite,samwhite,2018-07-18,2018-07-27,2018-07-25,,,Platform,,0,,,,"Need to confirm incoming and outgoing transactions for the Boomi atom so the platform can communicate with external webservices and external services can call Boomi webservices

Enables:
* connection to Synetica API
* Mendix platform can call PR002 API",,Matthew.BashirWhite,samwhite,trevorlee,,,,,,,,,,,,IDB-188,IDB-252,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzqe:owg,,,,,,,6. IoT Business Rules & CC I/O,,,,3,,
SSO for the Boomi Platform,IDB-272,34016,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-07-18,2018-07-26,2018-07-27,2018-07-26,,Platform,,0,Blocked,,,,,Matthew.BashirWhite,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impediment,,,,,,0|hzzzqe:ow8,,,,,,,5. PR001 UAT & PR002 LIVE,6. IoT Business Rules & CC I/O,,,8,,
"PR002: Within Mendix, the API is not returning any context as to the error",IDB-271,34015,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,olivercurson,olivercurson,2018-07-17,2018-07-17,2018-07-27,2018-07-17,[PR002] CCR Update Address API - V1.0,,,0,,,,"Mendix doesn't receive the error message that is returned by the API, just the 500 error.",,olivercurson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:6i,,,,,,,5. PR001 UAT & PR002 LIVE,,,,2,,
SP002: Create a Logger DB in LIVE,IDB-268,33988,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-07-11,2018-07-20,2018-07-27,2018-07-13,Software Development Life Cycle - V1.1,,,0,,,,"Duplication of the current IPAAS_LOGGING database (and its user created tables/stored procedures) from WAP-VSQLDEV1 to a LIVE server.Â 

This is to mimic our development logging capabilities in LIVE when our processes go into production.Â 

INFO and METRICS logs will be written to the database.Â ",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|hzzzqf:iy,,,,,,,5. PR001 UAT & PR002 LIVE,,,,3,,
CCR LIVE to include UPRN's,IDB-267,33987,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,jonelsom,samwhite,samwhite,2018-07-11,2018-07-20,2018-07-27,2018-07-17,[PR002] CCR Update Address API - V1.0,,,0,,,,"run the following in CCR_Live to implement changes necessary for iPaaS development:

Â 
 # Alt_table_locations_uprn
 # Cre_tab_iPaaS_Staging_PERP_LIST
 # Refresh_iPaaS_Staging_Perp_List
 # Pop_location_uprn
 # Cre_sp_InsertLocation
 # Cre_usp_ipaas_insertLocation
 # Grant_ipaas_insertLocation",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iyl,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
PR002: Post Release,IDB-266,33986,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,samwhite,samwhite,2018-07-11,2018-07-23,2018-07-27,2018-07-23,[PR002] CCR Update Address API - V1.0,,,0,,,,"ARM, IG, TPAW and CAB approval.

From Standard Change > Change Process > Step 'Post-Release':Â 

Â 
|*Post - Release*|*Communications*
 * Inform Service Desk, support entities and stakeholders of the release.
 * Inform Product Owner of release.
*Promotion Testing*
 * Review process schedules and closely monitor logs.
 * Process testing where available without impact on LIVE data (notification testing, artefacts testing, passive testing and non-destructive testing).
*BAU*
Integration Team will monitor the process and raise bugs in the product backlog where appropriate unless deemed as emergency or critical release where the Deviation Process will be enacted.|",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:izr,,,,,,,5. PR001 UAT & PR002 LIVE,,,,5,,
PR002: CAB Approval - Update records,IDB-265,33985,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-07-11,2018-07-23,2018-07-27,2018-07-23,[PR002] CCR Update Address API - V1.0,,,0,,,,"ARM, IG, TPAW and CAB approval.

From our Standard Change > Change Process > Step 7 'update records':Â 

Â 
|*Step 7 â€“ Update records*|Once release to the production environment has happened, Platform Engineering will update information in IServer and the Service catalogue.
Â 
Â |",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:izi,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
PR002: CAB Approval - Release,IDB-264,33984,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-07-11,2018-07-23,2018-07-27,2018-07-23,[PR002] CCR Update Address API - V1.0,,,0,,,,"ARM, IG, TPAW and CAB approval.

Â 

From our Standard Change > Change Process > Step 6 'Release':Â 

Â 
|*Go-Live*
 On completion of above processes, the Development team is to inform IT&DÂ  Platform Engineering that the process is ready to promote. Â To avoid conflict and overhead on support functions, processes will be released within the following framework:
 Â 
 * Times of active scheduled processing must be avoided, in either stakeholder system or Boomi platform.
 * Avoid deployment where discovery and remediation of Boomi process failure would be difficult due to time scheduling concerns i.e. prior to holidays, weekends and staff absence.
 Â 
 The release is to be scheduled in line with communications in step 5.
 Â 
 Boomi Process promotion procedure can be found here:
 [http://wap-jira:8090/pages/viewpage.action?pageId=6784138]
 Â 
 Platform Engineering will confirm back to Development Team that promotion was successful and ,close the Marval ticketÂ 729048 as completed.
 Â |",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:iz9,,,,,,,5. PR001 UAT & PR002 LIVE,,,,1,,
